"year","school","conference","association","sport_label","men_revenue","women_revenue","total_revenue"
"2000-2001","Abilene Christian University","Other","NCAA Division II","Basketball",321495,318703,640198
"2000-2001","Abilene Christian University","Other","NCAA Division II","Football",1186130,0,1186130
"2000-2001","Abilene Christian University","Other","NCAA Division II","Non Football-Basketball",1031137,1060354,2091491
"2000-2001","Adams State College","Other","NCAA Division II","Basketball",27725,23370,51095
"2000-2001","Adams State College","Other","NCAA Division II","Football",61489,0,61489
"2000-2001","Adams State College","Other","NCAA Division II","Non Football-Basketball",69761,82798,152559
"2000-2001","Adelphi University","Other","NCAA Division II","Basketball",28821,574,29395
"2000-2001","Adelphi University","Other","NCAA Division II","Non Football-Basketball",21903,10074,31977
"2000-2001","Adrian College","Other","NCAA Division III","Basketball",21000,20000,41000
"2000-2001","Adrian College","Other","NCAA Division III","Football",40500,0,40500
"2000-2001","Adrian College","Other","NCAA Division III","Non Football-Basketball",33375,31548,64923
"2000-2001","Albany State University","Other","NCAA Division II","Basketball",10869,7229,18098
"2000-2001","Albany State University","Other","NCAA Division II","Football",194840,0,194840
"2000-2001","Albany State University","Other","NCAA Division II","Non Football-Basketball",6528,7141,13669
"2000-2001","Albertus Magnus College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Albertus Magnus College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Albion College","Other","NCAA Division III","Basketball",86485,67247,153732
"2000-2001","Albion College","Other","NCAA Division III","Football",271057,0,271057
"2000-2001","Albion College","Other","NCAA Division III","Non Football-Basketball",226458,244998,471456
"2000-2001","Albright College","Other","NCAA Division III","Basketball",84573,51721,136294
"2000-2001","Albright College","Other","NCAA Division III","Football",231931,0,231931
"2000-2001","Albright College","Other","NCAA Division III","Non Football-Basketball",104477,127462,231939
"2000-2001","Alcorn State University","Other","NCAA Division I-AA","Basketball",202998,13189,216187
"2000-2001","Alcorn State University","Other","NCAA Division I-AA","Football",223765,0,223765
"2000-2001","Alcorn State University","Other","NCAA Division I-AA","Non Football-Basketball",1000,0,1000
"2000-2001","Alderson Broaddus College","Other","NCAA Division II","Basketball",19163,14990,34153
"2000-2001","Alderson Broaddus College","Other","NCAA Division II","Non Football-Basketball",49558,37072,86630
"2000-2001","Alfred University","Other","NCAA Division III","Basketball",73474,65603,139077
"2000-2001","Alfred University","Other","NCAA Division III","Football",299239,0,299239
"2000-2001","Alfred University","Other","NCAA Division III","Non Football-Basketball",233236,253971,487207
"2000-2001","Allegheny College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Allegheny College","Other","NCAA Division III","Football",0,0,0
"2000-2001","Allegheny College","Other","NCAA Division III","Non Football-Basketball",5780,2666,8446
"2000-2001","Alma College","Other","NCAA Division III","Basketball",31347,86489,117836
"2000-2001","Alma College","Other","NCAA Division III","Football",72712,0,72712
"2000-2001","Alma College","Other","NCAA Division III","Non Football-Basketball",148156,158963,307119
"2000-2001","Alvernia University","Other","NCAA Division III","Basketball",10185,10210,20395
"2000-2001","Alvernia University","Other","NCAA Division III","Non Football-Basketball",27517,35470,62987
"2000-2001","American University","Other","NCAA Division I-AAA","Basketball",177220,14170,191390
"2000-2001","American University","Other","NCAA Division I-AAA","Non Football-Basketball",22506,11296,33802
"2000-2001","Amherst College","Other","NCAA Division III","Basketball",12741,26608,39349
"2000-2001","Amherst College","Other","NCAA Division III","Football",72909,0,72909
"2000-2001","Amherst College","Other","NCAA Division III","Non Football-Basketball",84863,32258,117121
"2000-2001","Anderson University","Other","NCAA Division II","Basketball",14500,1750,16250
"2000-2001","Anderson University","Other","NCAA Division II","Non Football-Basketball",5750,1695,7445
"2000-2001","Anderson University","Other","NCAA Division III","Basketball",101148,44024,145172
"2000-2001","Anderson University","Other","NCAA Division III","Football",143858,0,143858
"2000-2001","Anderson University","Other","NCAA Division III","Non Football-Basketball",236396,176274,412670
"2000-2001","Angelo State University","Other","NCAA Division II","Basketball",58231,14101,72332
"2000-2001","Angelo State University","Other","NCAA Division II","Football",51102,0,51102
"2000-2001","Angelo State University","Other","NCAA Division II","Non Football-Basketball",4245,6735,10980
"2000-2001","Anna Maria College","Other","NCAA Division III","Basketball",1250,1250,2500
"2000-2001","Anna Maria College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Appalachian State University","Other","NCAA Division I-AA","Basketball",286558,7010,293568
"2000-2001","Appalachian State University","Other","NCAA Division I-AA","Football",680904,0,680904
"2000-2001","Appalachian State University","Other","NCAA Division I-AA","Non Football-Basketball",68015,81809,149824
"2000-2001","Arcadia University","Other","NCAA Division III","Basketball",16518,0,16518
"2000-2001","Arcadia University","Other","NCAA Division III","Non Football-Basketball",18351,0,18351
"2000-2001","Arizona State University","Pacific-12 Conference","NCAA Division I-A","Basketball",3232246,319405,3551651
"2000-2001","Arizona State University","Pacific-12 Conference","NCAA Division I-A","Football",20048107,0,20048107
"2000-2001","Arizona State University","Pacific-12 Conference","NCAA Division I-A","Non Football-Basketball",931001,1014471,1945472
"2000-2001","Arkansas State University","Other","NCAA Division I-A","Basketball",622963,36413,659376
"2000-2001","Arkansas State University","Other","NCAA Division I-A","Football",1364584,0,1364584
"2000-2001","Arkansas State University","Other","NCAA Division I-A","Non Football-Basketball",16390,11175,27565
"2000-2001","Arkansas Tech University","Other","NCAA Division II","Basketball",171336,261662,432998
"2000-2001","Arkansas Tech University","Other","NCAA Division II","Football",295652,0,295652
"2000-2001","Arkansas Tech University","Other","NCAA Division II","Non Football-Basketball",27030,0,27030
"2000-2001","Armstrong Atlantic State University","Other","NCAA Division II","Basketball",0,0,0
"2000-2001","Armstrong Atlantic State University","Other","NCAA Division II","Non Football-Basketball",0,0,0
"2000-2001","Ashland University","Other","NCAA Division II","Basketball",7000,1000,8000
"2000-2001","Ashland University","Other","NCAA Division II","Football",8000,0,8000
"2000-2001","Ashland University","Other","NCAA Division II","Non Football-Basketball",500,500,1000
"2000-2001","Assumption College","Other","NCAA Division II","Basketball",111132,114693,225825
"2000-2001","Assumption College","Other","NCAA Division II","Football",95909,0,95909
"2000-2001","Assumption College","Other","NCAA Division II","Non Football-Basketball",66430,62764,129194
"2000-2001","Auburn University","Southeastern Conference","NCAA Division I-A","Basketball",3786239,67337,3853576
"2000-2001","Auburn University","Southeastern Conference","NCAA Division I-A","Football",28802492,0,28802492
"2000-2001","Auburn University","Southeastern Conference","NCAA Division I-A","Non Football-Basketball",369072,41637,410709
"2000-2001","Augsburg College","Other","NCAA Division III","Basketball",57068,51386,108454
"2000-2001","Augsburg College","Other","NCAA Division III","Football",188584,0,188584
"2000-2001","Augsburg College","Other","NCAA Division III","Non Football-Basketball",508378,259306,767684
"2000-2001","Augusta State University","Other","NCAA Division II","Basketball",50243,22751,72994
"2000-2001","Augusta State University","Other","NCAA Division II","Non Football-Basketball",107256,110031,217287
"2000-2001","Augustana College","Other","NCAA Division II","Basketball",147600,116833,264433
"2000-2001","Augustana College","Other","NCAA Division II","Football",292816,0,292816
"2000-2001","Augustana College","Other","NCAA Division II","Non Football-Basketball",176674,265890,442564
"2000-2001","Augustana College","Other","NCAA Division III","Basketball",3750,1045,4795
"2000-2001","Augustana College","Other","NCAA Division III","Football",17669,0,17669
"2000-2001","Augustana College","Other","NCAA Division III","Non Football-Basketball",32872,10121,42993
"2000-2001","Aurora University","Other","NCAA Division III","Basketball",7131,830,7961
"2000-2001","Aurora University","Other","NCAA Division III","Football",15448,0,15448
"2000-2001","Aurora University","Other","NCAA Division III","Non Football-Basketball",0,525,525
"2000-2001","Austin College","Other","NCAA Division III","Basketball",0,0,0
"2000-2001","Austin College","Other","NCAA Division III","Football",1000,0,1000
"2000-2001","Austin College","Other","NCAA Division III","Non Football-Basketball",0,0,0
"2000-2001","Austin Peay State University","Other","NCAA Division I-AA","Basketball",193474,76396,269870
"2000-2001","Austin Peay State University","Other","NCAA Division I-AA","Football",84951,0,84951
"2000-2001","Austin Peay State University","Other","NCAA Division I-AA","Non Football-Basketball",5967,0,5967
"2000-2001","Averett University","Other","NCAA Division III","Basketball",28506,22523,51029
